subject	source_repo	survives	disposition	certainty	provenance_shape	verification_shape	verification_sha	verification_sha_date	sha_on_default_branch	live_sha	live_sha_date	repo_delta_status	repo_commits_since	row_status	paths_checked	note
Independent estate-structure review (ChatGPT Work, 2026-08-30)	fleet-manager	yes	archive_only	MEASURED-PRIOR	path	sha-only	caa6cd2ab6591794258b68b3c385a8378a55c8d3	2026-09-03T21:42:38Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-30-independent-estate-structure-review.md=UNCHANGED	
Kit configuration (substrate.config.json)	fleet-manager	no	archive_only	REVIEWED	narration	narration						CHANGED_REAUDIT	20	UNCHECKABLE:no-path-in-source_path		
Kit-generated architecture and ownership stubs	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/architecture.md=UNCHANGED	
Kit-owned skill set — the SKILL.md files tagged 'kit' in docs/SKILLS-local.md, and docs/SKILLS.md itself	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/SKILLS-local.md=UNCHANGED	
Laptop setup walkthrough -- Claude Desktop + Code on the Galaxy Book6 Pro	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/owner-steps-2026-08-21-laptop-setup.md=UNCHANGED	
Launch-readiness checklist (2026-07-10)	fleet-manager	no	archive_only	REVIEWED	narration	narration						CHANGED_REAUDIT	20	UNCHECKABLE:no-path-in-source_path		
Manager-succession handoff packages (2026-07-09, 2026-07-10)	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/handoff-2026-07-09.md=UNCHANGED	
NEXT-TASKS.md -- seat-era manager task set, superseded	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/NEXT-TASKS.md=UNCHANGED	
Next Anthropic feedback email -- live owner-queue pointer target	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/anthropic-email-pack.md=UNCHANGED	
No unresolved owner items for routing	fleet-manager	no	archive_only	MEASURED	path	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
OD-24 round's open-questions agenda (2026-08-28)	fleet-manager	yes	archive_only	MEASURED	path	sha-only	caa6cd2ab6591794258b68b3c385a8378a55c8d3	2026-09-03T21:42:38Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-28-od24-round-open-questions.md=UNCHANGED	
Owner queue -- the historical resolved/closed/parked log	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/owner-queue.md=MOVED	
Owner-queue candidate feed (superseded generator output)	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/owner-queue-candidates.md=UNCHANGED	
PROJECT-CLOSEOUT.md §3 'continuation threads' -- the still-live claim is stale	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/PROJECT-CLOSEOUT.md=UNCHANGED	
Post-merge review queue (gen-2 'no PR waits for review' policy)	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/review-queue.md=UNCHANGED	
Q-number router and cross-repo index files	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/question-router.md=UNCHANGED	
RESUME.md -- coordinator-seat revival door, explicitly non-boot	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/RESUME.md=UNCHANGED	
ROUTINES.md wake-chain doctrine -- durable method already in CAPABILITIES.md	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/ROUTINES.md=UNCHANGED	
Railway keep-bot-only worklist (2026-08-20)	fleet-manager	yes	archive_only	MEASURED-PRIOR	path	sha-only	caa6cd2ab6591794258b68b3c385a8378a55c8d3	2026-09-03T21:42:38Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-20-railway-keep-bot-only-worklist.md=UNCHANGED	
Repo dispositions table (2026-08-22, OD-18's deliverable)	fleet-manager	yes	archive_only	MEASURED-PRIOR	path	sha-only	caa6cd2ab6591794258b68b3c385a8378a55c8d3	2026-09-03T21:42:38Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-22-repo-dispositions.md=UNCHANGED	
Retired generated fleet-evidence and fence-exposure snapshots	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/evidence-index.md=UNCHANGED	
Retired multi-seat fleet reading path	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/reading-path.md=UNCHANGED	
Seat-era mission statement (MISSION.md)	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	7d99f7d2f020d10b7230cb9f0970b5ec72691dbe	2026-08-29T15:42:51Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	MISSION.md=UNCHANGED	
Seat-era scripts/* (gen_roster.py, check_owner_queue.py, check_fleet_triage_staleness.py, check_roster_freshness.py and the rest beyond preflight.py)	fleet-manager	yes	archive_only	MEASURED-PRIOR	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	scripts/README.md=UNCHANGED	
Session journal / process memory (.session-journal.md)	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	7d99f7d2f020d10b7230cb9f0970b5ec72691dbe	2026-08-29T15:42:51Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	.session-journal.md=UNCHANGED	
Shared cross-vendor agent rules (AGENTS.md draft)	fleet-manager	no	archive_only	REVIEWED	narration	narration						CHANGED_REAUDIT	20	UNCHECKABLE:no-path-in-source_path		
Substrate-kit-planted template docs -- empty or redundant with live surfaces (5 files)	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/helper-policy.md=UNCHANGED	
Ten older superseded consolidation and product plans	fleet-manager	yes	archive_only	MEASURED	paths:10	sha-only	caa6cd2ab6591794258b68b3c385a8378a55c8d3	2026-09-03T21:42:38Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-07-14-central-docs-plan.md=UNCHANGED | docs/planning/2026-07-26-ci-consolidation.md=UNCHANGED | docs/planning/2026-07-26-consolidation-plan-v2.md=UNCHANGED | docs/planning/2026-07-26-fleet-consolidation-plan.md=UNCHANGED | docs/planning/2026-07-12-repo-consolidation-plan.md=UNCHANGED | docs/planning/2026-07-24-app-plan-life-admin.md=UNCHANGED | docs/planning/2026-07-19-next-slices.md=UNCHANGED | docs/planning/gen2-launch-record-2026-07-10.md=UNCHANGED | docs/planning/order-016-followups-2026-07-11.md=UNCHANGED | docs/planning/overnight-menu-2026-07-17.md=UNCHANGED	
The 18 of 28 repositories with no Layer-2 folder need a repositories/<repo>/README.md authored fresh at seed time	fleet-manager	no	archive_only	REVIEWED	narration	narration						CHANGED_REAUDIT	20	UNCHECKABLE:no-path-in-source_path		
The 7 lab-origin idea files (5 open, 2 rejected)	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/ideas/=UNCHANGED	
The consolidation program's §7 progress ledger and §0/§2/§4/§5/§6 framework	fleet-manager	yes	archive_only	MEASURED	path	sha-only	caa6cd2ab6591794258b68b3c385a8378a55c8d3	2026-09-03T21:42:38Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/planning/2026-07-26-consolidation-program.md=MOVED	
The docs/ folder-level door index	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/README.md=UNCHANGED	
The five top-level owner/*.md single-question drafts are superseded duplicates	fleet-manager	yes	archive_only	MEASURED	paths:5	sha-only	21b19be84dad54d3ca6fc026dcb5477543687bfd	2026-09-04T12:22:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	owner/choose-estate-archive-shape.md=UNCHANGED | owner/choose-estate-folder-structure.md=UNCHANGED | owner/choose-estate-migration-order.md=UNCHANGED | owner/fill-repository-purposes.md=UNCHANGED | owner/triage-recorded-ideas.md=UNCHANGED	
The hub's merged-work / shipped history log	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/current-state-shipped-log.md=UNCHANGED	
The installed-skill roster documentation (SKILLS-local.md and SKILLS.md)	fleet-manager	yes	archive_only	MEASURED	path	sha+instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/SKILLS-local.md=UNCHANGED	
The owner-comment channel is built but has effectively never carried traffic	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	50c1b1e6effd2cd5ba0ae821889e511651cc67c5	2026-09-04T12:19:06Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/owner-comments/websites/README.md=UNCHANGED	
The proposed 11 folder-role contracts (folders/README.md and its 11 children) as a standalone seed fact	fleet-manager	no	archive_only	REVIEWED	narration	narration						CHANGED_REAUDIT	20	UNCHECKABLE:no-path-in-source_path		
The unanswered worksheet apparatus (73 forms) carried whole, including its generated indexes and its 1-of-74 count	fleet-manager	no	archive_only	REVIEWED	narration	narration						CHANGED_REAUDIT	20	UNCHECKABLE:no-path-in-source_path		
Unfilled repo-navigation-map stub	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/repo-navigation-map.md=UNCHANGED	
Workflow-touching-PR merge policy, already absorbed into playbook R30	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/workflow-pr-merge-policy.md=UNCHANGED	
collaboration-model.md duplicates root CONSTITUTION.md	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/collaboration-model.md=UNCHANGED	
decisions.md entries specific to fleet-manager's own history or completed one-time program events	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/decisions.md=MOVED	
docs/activity/estate-log.md and docs/activity/off-repo-log.md — the accumulated log content itself	fleet-manager	no	archive_only	REVIEWED	narration	narration						CHANGED_REAUDIT	20	UNCHECKABLE:no-path-in-source_path		
docs/conventions/outbox-rollover.md	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/conventions/README.md=UNCHANGED	
docs/ideas/ lifecycle mechanism (INTAKE/MAP/ROUTE/GROOM/OUTCOME conveyor + the YAML frontmatter outcome record)	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/ideas/README.md=UNCHANGED	
execution-surfaces.md's dated update/incident narrative	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/execution-surfaces.md=UNCHANGED	
fleet-manager-as-index (2026-08-08) and the repo-navigation plan (2026-08-10)	fleet-manager	yes	archive_only	MEASURED	paths:2	sha-only	caa6cd2ab6591794258b68b3c385a8378a55c8d3	2026-09-03T21:42:38Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-08-fleet-manager-as-index.md=UNCHANGED | docs/planning/2026-08-10-repo-navigation-plan.md=UNCHANGED	
playbook.md's seat-era dispatch/roster/control-bus rules	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/playbook.md=UNCHANGED	
trigger-health-spec.md (R26) -- same finding as ROUTINES.md	fleet-manager	yes	archive_only	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/trigger-health-spec.md=UNCHANGED	
Currently-binding estate-wide operating decisions (Gemini routing, trigger deletion, Codex review, model tiering, PR discipline)	fleet-manager	yes	distill	OWNER	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/decisions.md=MOVED	
The consolidation program's owner-directive table (OD-1..OD-26)	fleet-manager	yes	distill	OWNER	path	sha-only	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/planning/2026-07-26-consolidation-program.md=MOVED	several SHAs; the latest-dated is the verification point
The decision ledger's own specification for how `estate` must be built (D-0025 to D-0038)	fleet-manager	yes	carry	OWNER	path	sha+instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/decisions.md=MOVED	
Governing decisions D-0012 and D-0036	websites	no	archive_only	MEASURED	path	sha@instant	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	yes	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/decisions.md=UNCHANGED	
postgres-botsite final dump — verified released artifact	estate-backups	no	carry	MEASURED	api-reference	instant-only						UNCHANGED_REUSABLE	0	UNCHECKABLE:api-reference-not-a-path		
docs/providers/* — the vendor capability reference set (claude, chatgpt, gemini, gemini-notebook, github-copilot, grok, deepseek, mistral, meta-llama, cohere)	fleet-manager	yes	carry	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/providers/README.md=UNCHANGED	
control/inbox.md and control/status.md directly contradict each other on ORDER completion	product-forge	no	archive_only	MEASURED	paths:2	sha@instant	7a53b2667b29ac13817821bad6fe62eccf512ed7	2026-08-20T20:06:39Z	yes	7a53b2667b29ac13817821bad6fe62eccf512ed7	2026-08-20T20:06:39Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	control/inbox.md=UNCHANGED | control/status.md=UNCHANGED	
README front door is actively wrong, not merely thin	spider-swing	no	carry	MEASURED	path	sha@instant	fc64a3fbb25ff8be21a7bbeceb1d5c8275d614f0	2026-08-23T20:17:00Z	yes	dffb8f5b89c360b05c43455734bb415e6864fafa	2026-09-04T16:31:14Z	CHANGED_REAUDIT	1	SOURCE_UNCHANGED	README.md=UNCHANGED	
The 11 owner-origin idea files still marked outcome: open	fleet-manager	yes	distill	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/ideas/=UNCHANGED	
No unresolved owner-comment items for substrate-kit	fleet-manager	no	archive_only	MEASURED	path	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
No unresolved owner-routing items for websites	fleet-manager	no	carry	MEASURED	path	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
OD-24 owner-directed review round is in progress, session 5 not yet run	fleet-manager	no	carry	REVIEWED	path	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
Open owner dependency: OQ-BOT-DB-BTD6-PRUNE unanswered	fleet-manager	no	archive_only	MEASURED	path	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
