repo	branch	baseline_commit	live_commit	commits_since	delta_status	evidence_ref	prior_certainty	note
pokemon-mod-lab	main	086dde68d5e2@2026-07-21T18:07:39Z	086dde68d5e2@2026-07-21T18:07:39Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
product-forge	main	7a53b2667b29@2026-08-20T20:06:39Z	7a53b2667b29@2026-08-20T20:06:39Z	0	UNCHANGED_REUSABLE	findings/2026-08-23-active-repo-intent-audit.md	UNRATED	
proxybench	main	d06694f7e6f6@2026-07-22T17:29:50Z	88d5d1723561@2026-08-23T07:01:04Z	1	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
shiftlife	main	33d9064b376f@2026-07-27T21:11:05Z	33d9064b376f@2026-07-27T21:11:05Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
sim-lab	main	f54ec219aff6@2026-08-14T10:09:37Z	72ed751e657e@2026-08-23T17:01:25Z	1	CHANGED_REAUDIT	planning/2026-08-22-repo-dispositions.md	MEASURED	
spider-bot	main	bf4d75278a74@2026-08-25T22:42:55Z	bf4d75278a74@2026-08-25T22:42:55Z	0	UNCHANGED_REUSABLE	repos/spider-bot/README.md	MEASURED	
spider-swing	main	fc64a3fbb25f@2026-08-23T20:17:00Z	fc64a3fbb25f@2026-08-23T20:17:00Z	0	UNCHANGED_REUSABLE	repos/spider-swing/README.md	MEASURED	
substrate-kit	main	8ae419971edd@2026-08-14T10:28:00Z	ff06fb902c69@2026-09-01T18:25:00Z	3	CHANGED_REAUDIT	findings/2026-08-28-kit-tree-truth-pass.md	MEASURED	
superbot	main	5e3a667b2a55@2026-08-20T23:17:52Z	5e3a667b2a55@2026-08-20T23:17:52Z	0	UNCHANGED_REUSABLE	repos/superbot/README.md	MEASURED	
superbot-games	main	933240093b11@2026-07-21T18:44:45Z	c3b2e83d9189@2026-08-23T07:00:51Z	1	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
superbot-idle	main	8cea5bf88a2c@2026-07-21T18:41:41Z	0062182c28c3@2026-08-23T07:01:08Z	1	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
superbot-mineverse	main	9f8047f9e0f4@2026-08-13T19:20:20Z	0bcb864dde06@2026-08-23T07:02:59Z	2	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
superbot-next	main	d5f66dc27768@2026-08-13T15:21:11Z	d5f66dc27768@2026-08-13T15:21:11Z	0	UNCHANGED_REUSABLE	repos/superbot-next/README.md	MEASURED	
superbot-plugin-hello	main	abd91334dc55@2026-07-15T15:29:41Z	abd91334dc55@2026-07-15T15:29:41Z	0	UNCHANGED_REUSABLE	planning/2026-08-22-repo-dispositions.md	MEASURED	
trading-strategy	main	b5eba0303226@2026-08-14T10:21:56Z	54e1461232de@2026-08-23T07:01:11Z	1	ARCHIVED_OR_NONACTIVE	planning/2026-08-22-repo-dispositions.md	MEASURED	
venture-lab	main	a7220b1d348a@2026-08-13T18:58:29Z	a7220b1d348a@2026-08-13T18:58:29Z	0	UNCHANGED_REUSABLE	repos/venture-lab/README.md	MEASURED	
websites	main	9ba7df41cbc0@2026-08-27T23:30:54Z	48b75de8fd30@2026-09-03T20:49:56Z	2	CHANGED_REAUDIT	repos/websites/README.md	MEASURED	
