subject,source_repo,source_path,verification_point,certainty,canonical_owner,estate_role,disposition,transform_required,links_that_must_survive,blocker,verifier,contradicted_by,contradiction_resolution,refuted,stale_on_copy,only_source_is_hub_summary,certainty_overclaimed,fact,origin_lane,survives,killed_by,canonical_state_source
Generated idea backlog (docs/planning/idea-backlog.md),fleet-manager,(killed before a source was recorded),(killed at disposition),REVIEWED,hub,archive/,archive_only,False,,killed at disposition: only_source_is_hub_summary and certainty != 'OWNER',disposition judge for area planning,,none,True,False,False,,"I opened the file this pass and confirmed the enumerator's flag rather than softening it: its own header says GENERATED, do-not-hand-edit, and NOT SOURCE OF TRUTH — the source cards in .sessions/ and the planning docs' groom sections win. It is a hub-side restatement whose harvest is knowingly partial (bullet form only; the majority heading and paragraph forms are not harvested — 59 of 452 cards per the fresh-start redirect's measurement) and whose groomed-detection is an unverified token-overlap heuristic. Certainty is MEASURED-PRIOR, not OWNER, so the last clause of the rule fires. The right successor is not this table but the S1 harvester rewrite writing one file per idea into estate's ideas/; until that exists there is no seedable primary here. The file stays reachable in the archive.",area:planning,no,only_source_is_hub_summary and certainty != 'OWNER',docs/current-state.md
Hand-maintained top-level docs map (docs/MAP.md),fleet-manager,docs/MAP.md,14ea77e@2026-09-04; judge re-counted traps.md headings @2026-09-04,MEASURED,hub,archive/,archive_only,False,,superseded by design -- the new hub's top-level map is a generated artifact per D-0032,enumerator read docs/MAP.md in full @14ea77e; judge ran grep -c '^## TRAP-' docs/traps.md -> 9 and grep -n 'seven entries' docs/MAP.md -> line 64,"docs/traps.md coverage table (9 entries) vs docs/MAP.md:64 ('seven entries, six delivered')",resolved: judge counted 9 TRAP headings in traps.md at HEAD; MAP.md is stale,False,True,False,,"MAP.md is a hand-authored one-line-per-area router for fleet-manager's own folder structure (control/, telemetry/, projects/, registry/, environments/), most of it seat-era apparatus the new hub will not have. D-0032 already rules the new hub's top-level map must be GENERATED from folder READMEs. Judge confirmed MAP.md is stale about a CORE-tier sibling: it claims traps.md has 'seven entries, six delivered by doc-routes'; traps.md actually has nine.",area:run1-four-areas,yes,,docs/current-state.md
Independent confirmation that the per-repo-folder and owner-comments patterns 'worked' and should generalise,fleet-manager,(killed before a source was recorded),(killed at disposition),REVIEWED,hub,archive/,archive_only,False,,killed at disposition: only_source_is_hub_summary and certainty != 'OWNER',disposition judge for area repos-and-owner-comments,,none,True,False,False,,"The enumerator set only_source_is_hub_summary false; I set it true after reading the source. docs/findings/2026-09-01-fleet-manager-measured.md is a fleet-manager document whose claim here — that these patterns 'grew against a declared contract [and] stayed navigable' and that 'the successor generalises those four patterns' — is a design judgement with no primary behind it; the primaries are the folders themselves, which survive as separate items. Certainty is MEASURED-PRIOR, not OWNER. Two further reasons it should not seed: the doc says 'four patterns' and then lists five (.sessions/, docs/repos/, docs/owner-comments/, docs/planning/, generated owner/README.md), so the enumerator's '2 of exactly 4' is not what the file says; and even if kept it is rationale for building the successor, which becomes historical the moment the successor exists — archive_only at best.",area:repos-and-owner-comments,no,only_source_is_hub_summary and certainty != 'OWNER',docs/current-state.md
"Independent estate-structure review (ChatGPT Work, 2026-08-30)",fleet-manager,docs/planning/2026-08-30-independent-estate-structure-review.md,"caa6cd2, lines 1-60 of 285",MEASURED-PRIOR,hub,archive/,archive_only,False,docs/planning/2026-09-01-estate-structure-proposal/,,enumerator read lines 1-60 at docs/planning/2026-08-30-independent-estate-structure-review.md@caa6cd2; remainder not opened,docs/planning/2026-09-01-estate-structure-proposal/structure.md,resolved:the 2026-09-01 owner-decided structure supersedes it and already carries its adopted proposals,False,True,False,,"A second-opinion structural review that fed the 2026-09-01 owner-decided structure. Explicitly not an amendment to the decided direction; its two proposed changes (no literal archive mirror; thinner seed-before-apparatus sequencing) were folded into the letters the owner answered on 2026-09-01. Its own measurements (25 top-level entries, 79 under docs/, 454 cards) are already stale, and it carries no supersession banner of its own.",area:planning,yes,,docs/current-state.md
Kit configuration (substrate.config.json),fleet-manager,(killed before a source was recorded),(killed at disposition),REVIEWED,hub,archive/,archive_only,False,,killed at disposition: refuted,disposition judge for area run1-four-areas,,none,True,False,False,,"The item's headline measurement is false. It claims readpath_docs names 'AGENT_ORIENTATION.md -- a file that does NOT exist anywhere in this repo (measured: ls AGENT_ORIENTATION.md -> No such file or directory)'. readpath_docs resolves relative to docs_root: 'docs', and docs/AGENT_ORIENTATION.md exists at HEAD (6451 bytes, judge ls @2026-09-04). The enumerator ran the ls from the wrong root and published the negative. The item's surviving content (fleet-manager's kit config must be regenerated for estate after kit changes K1-K5, not copied) is already carried by structure.md's tool-required-root list and the migration plan, so nothing is lost by killing it -- but the false-absence claim must not enter the baseline. Second instance of this defect class in run 1, and run 1 published two mutually exclusive claims about this one path.",area:run1-four-areas,no,refuted,docs/current-state.md
Kit-generated architecture and ownership stubs,fleet-manager,docs/architecture.md,14ea77e@2026-09-04,MEASURED,hub,archive/,archive_only,False,,no real content to carry -- both are template skeletons,enumerator read architecture.md and ownership.md in full @14ea77e,,none,False,True,False,,"architecture.md and ownership.md are largely empty kit templates; both tables are literal unfilled placeholder rows ('(one row per owned area) | | |'), and their only real prose describes fleet-manager's current tree shape, which the new hub will not inherit unchanged.",area:run1-four-areas,yes,,docs/current-state.md
"Kit-owned skill set — the SKILL.md files tagged 'kit' in docs/SKILLS-local.md, and docs/SKILLS.md itself",fleet-manager,docs/SKILLS-local.md,7ccc88a@2026-09-04,MEASURED,substrate-kit,archive/,archive_only,False,,Successor must adopt published substrate-kit v1.21.0; do not wait on or design around the open kit PR #590 (adoption profiles).,read docs/SKILLS-local.md lines 1-45 at 7ccc88a,,none,False,False,False,,"docs/SKILLS-local.md states these regenerate from the kit's own list at every adopt/upgrade and must never be hand-edited — a row added there disappears at the next upgrade. They are substrate-kit's content; the successor acquires them by adopting the kit, not by copying files out of fleet-manager.",area:apparatus,yes,,docs/current-state.md
Laptop setup walkthrough -- Claude Desktop + Code on the Galaxy Book6 Pro,fleet-manager,docs/owner-steps-2026-08-21-laptop-setup.md,06dbbfe@2026-09-04; judge re-read owner/README.md header @2026-09-04,MEASURED,hub,archive/,archive_only,False,,"the estate's rewritten owner-index generator must not reproduce this false-open defect -- a completed one-time action needs a done state, not a date heuristic",enumerator read the file in full (247 lines) and cross-checked completion against current-state.md's laptop-hub references and structure.md's own header; judge re-read owner/README.md's generated-at stamp and live-docs section,owner/README.md (generated 2026-09-03) lists this doc as an open owner ask,resolved: the action is verifiably complete; the generated index is wrong because its classifier has no done state,False,False,False,,"docs/owner-steps-2026-08-21-laptop-setup.md is a one-time setup whose single action (install Git + Claude Desktop, sign in, open the Code tab) is done and in ongoing use -- the 2026-09-01 estate-structure planning session ran from that laptop. JUDGE ADDITION: the generated owner/README.md (2026-09-03T21:25:03Z) still lists it among live owner-guidance docs waiting for his words, because tools/gen_owner_index.py classifies by directory and filename date only and has no done state.",area:run1-four-areas,yes,,docs/current-state.md
Launch-readiness checklist (2026-07-10),fleet-manager,(killed before a source was recorded),(killed at disposition),REVIEWED,hub,archive/,archive_only,False,,killed at disposition: refuted,disposition judge for area run1-four-areas,,none,True,False,False,,"The enumerator itself set refuted: true, correctly. The file's central caveat -- 'the repo-settings REST API is walled from agent seats' -- is a false wall, refuted by the MEASURED 2026-08-06 finding that the rulesets/settings API is readable and writable agent-side over direct egress with the PAT, already corrected in .claude/CLAUDE.md's Capabilities section. The rest is a closed seat-specific relaunch procedure with no current referent. Nothing seeds; the file stays in the frozen archive with its own era note so the refutation travels with it.",area:run1-four-areas,no,refuted,docs/current-state.md
"Manager-succession handoff packages (2026-07-09, 2026-07-10)",fleet-manager,docs/handoff-2026-07-09.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator full reads of docs/handoff-2026-07-09.md and docs/handoff-2026-07-10.md,,none,False,True,False,,"handoff-2026-07-09.md and handoff-2026-07-10.md carry a 2026-08-11 era banner: no successor manager chat exists and their read orders are stale twice over -- handoff-07-10 cites 'R1-R23 all binding' though the playbook runs to R30 and only a subset binds, and its cross-session-send-tool wall claim is a dead wall.",area:run1-four-areas,yes,,docs/current-state.md
"NEXT-TASKS.md -- seat-era manager task set, superseded",fleet-manager,docs/NEXT-TASKS.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator full read of docs/NEXT-TASKS.md,,none,False,True,False,,"NEXT-TASKS.md declares itself superseded: its three headline items (S3/S5/S9 staleness checkers, roster right-sizing) are resolved -- the checkers shipped 2026-07-18/19 and the owner retired the roster 2026-08-07 -- and current work is redirected to the consolidation program.",area:run1-four-areas,yes,,docs/current-state.md
Next Anthropic feedback email -- live owner-queue pointer target,fleet-manager,docs/anthropic-email-pack.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,docs/owner-queue.md 'Anthropic email pack' parked item -> this file's archive URL (an open owner ask depends on it resolving),,enumerator grep -n 'anthropic-email-pack' docs/owner-queue.md plus a full read of the pack,,none,False,False,False,,"owner-queue.md lists under 'Parked (valid, no rush)' a still-open item: the next email (capability self-knowledge) is drafted paste-ready at anthropic-email-pack.md, to review and send on the existing Gmail thread. The draft is static and needs no editing; its substance is otherwise superseded by CLAUDE.md's Capabilities section. Only the link must keep resolving.",area:run1-four-areas,yes,,docs/current-state.md
No unresolved owner items for routing,fleet-manager,docs/owner-comments/couch-legend/README.md,live-api@2026-09-04,MEASURED,hub,archive/,archive_only,False,,none; adversary: seed 'No unresolved owner items for routing' — certainty MEASURED on a tool-GENERATED index whose own header says it is regenerated by `owner_comments.py reinde; refuter dropped it: not_needed_for_routing,read the file directly; Unconsumed (0) and Consumed history (0) sections both empty,,none,True,True,True,True,docs/owner-comments/couch-legend/README.md lists 0 unconsumed and 0 consumed owner comments — no owner-comment items currently affect routing for this repo.,repo:menno420/couch-legend,no,refuted by an adversarial lens; only source is a hub document restating something with no primary; an adversary showed the MEASURED tag is not earned,docs/current-state.md
OD-24 round's open-questions agenda (2026-08-28),fleet-manager,docs/planning/2026-08-28-od24-round-open-questions.md,"caa6cd2, header read",MEASURED,hub,archive/,archive_only,False,docs/planning/2026-07-26-consolidation-program.md,,enumerator read first 8 lines at docs/planning/2026-08-28-od24-round-open-questions.md@caa6cd2,,none,False,False,False,,The discussion agenda assembled for the owner's review sitting on the substrate-kit round. A pure input to a sitting that has since happened; its answers are recorded in OD-26 and docs/findings/2026-08-28-od24-sitting-answers.md. Nothing in it is unresolved.,area:planning,yes,,docs/current-state.md
Owner queue -- the historical resolved/closed/parked log,fleet-manager,docs/owner-queue.md,06dbbfe@2026-09-04; judge wc -l = 2180 @2026-09-04,MEASURED,hub,archive/,archive_only,False,OQ- slugs of resolved items cited elsewhere as precedent (e.g. OQ-FM-WAKE-CHAIN-ARM),,"enumerator grep -n '^## ' docs/owner-queue.md: 21 section headers, 15 'Resolved <date>' bands plus Closed and Parked",,none,False,False,False,,"Roughly 1,300 of owner-queue.md's 2,180 lines are a chronological archive: a 'Closed / no action' index, a 'Parked' section, and 15 dated 'Resolved YYYY-MM-DD' bands from 2026-07-09 to 2026-07-24, each a snapshot of what a specific wake or PR verified at the time.",area:run1-four-areas,yes,,docs/current-state.md
Owner-queue candidate feed (superseded generator output),fleet-manager,docs/owner-queue-candidates.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read the file in full (170 lines),,none,False,True,False,,"docs/owner-queue-candidates.md is generated extraction of every 'needs-owner' block from the defunct per-repo control/status.md heartbeats, frozen at Generation #430 (2026-08-06T14:57Z) and self-banned ('RETIRED with the roster, 2026-08-07... Do not curate the owner queue from it'). Its header states the manager already curated every live item out of it into docs/owner-queue.md.",area:run1-four-areas,yes,,docs/current-state.md
PROJECT-CLOSEOUT.md §3 'continuation threads' -- the still-live claim is stale,fleet-manager,docs/PROJECT-CLOSEOUT.md,06dbbfe@2026-09-04; judge grep of docs/owner-queue.md @2026-09-04,MEASURED,hub,archive/,archive_only,False,,"the boot file's claim that §3 is live must be corrected in fleet-manager before it is frozen, or the archive ships a false pointer",enumerator full read of PROJECT-CLOSEOUT.md plus grep of owner-queue.md; judge re-ran the grep and confirmed both OQ slugs at owner-queue.md:1142 and :1309,".claude/CLAUDE.md deep read path item 5 | docs/owner-queue.md, which independently tracks the same three items",resolved: owner-queue.md is the current live tracker; the CLAUDE.md claim is stale,False,True,False,,"CLAUDE.md's deep-read-path item 5 asserts PROJECT-CLOSEOUT.md §3's continuation threads are still the live handover record. All three still-cited §3 items have already migrated to owner-queue.md: trading-strategy #160 is recorded merged (line 874) and OQ-SBW-DUP-FAILSAFE and OQ-WEBSITES-LABEL-MACHINERY are tracked live there (judge re-confirmed at lines 1142 and 1309). owner-queue.md, not this closeout doc, is the live tracker; the whole file is a 2026-07-21 program-close snapshot.",area:run1-four-areas,yes,,docs/current-state.md
Post-merge review queue (gen-2 'no PR waits for review' policy),fleet-manager,docs/review-queue.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read the file in full (163 lines) including its banner and BINDING rule,.claude/CLAUDE.md: 'Never merge a PR you have asked Codex to review before it answers',resolved: review-queue.md's own banner concedes the newer pre-merge doctrine superseded it,False,True,False,,docs/review-queue.md is a re-badged-historical ledger for a post-merge review policy the live doctrine has since reversed; its own 2026-08-11 banner concedes its BINDING auto-append rule is enforced by nothing and that its core policy contradicts the live pre-merge Codex-review rule.,area:run1-four-areas,yes,,docs/current-state.md
Q-number router and cross-repo index files,fleet-manager,docs/question-router.md,06dbbfe@2026-09-04,MEASURED,superbot,archive/,archive_only,False,"superbot's canonical Q-number register (cite, never copy -- product truth)",,"enumerator read question-router.md in full (32 lines, empty § Open questions) and q-index.md in full (69 lines); cross-checked the missing Q-0273 against the skill roster",,none,False,True,False,,"docs/question-router.md is a live-format but empty (zero recorded Q-blocks) interview-output template. docs/q-index.md is a pointer table into superbot's canonical Q-number register, unmaintained since its 2026-07-14 seed and already missing Q-0273, a number this repo's own skills cite three times. Neither holds content lost by archiving once the citation grammar is preserved separately.",area:run1-four-areas,yes,,docs/current-state.md
"RESUME.md -- coordinator-seat revival door, explicitly non-boot",fleet-manager,docs/RESUME.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator full read of docs/RESUME.md,,none,False,True,False,,"RESUME.md's banner reads 'do not boot from this file' -- the coordinator seat it revives no longer exists; it is kept only as the clearest surviving description of how the seat worked (OD-3, archive never delete). Its wake-chain re-arm instructions would arm triggers for sessions nobody runs.",area:run1-four-areas,yes,,docs/current-state.md
ROUTINES.md wake-chain doctrine -- durable method already in CAPABILITIES.md,fleet-manager,docs/ROUTINES.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,"the durable method rides on the CAPABILITIES.md distill item, not on this file -- if that distill drops trigger observability, the method is lost",enumerator grep of docs/CAPABILITIES.md for wedge/manual-fire/next_run_at plus a full read of ROUTINES.md,,none,False,False,False,,"ROUTINES.md's 2026-08-11 era note concedes the seat wake-chain ritual is dead (seats gone; D-0015 supersedes its deletion guidance) but claims its detection method remains sound. That method (next_run_at vs last_fired_at, the wedge signature, the manual-fire trap, sequential trigger-write pacing) is already recorded in docs/CAPABILITIES.md, so no separate seed action arises here.",area:run1-four-areas,yes,,docs/current-state.md
Railway keep-bot-only worklist (2026-08-20),fleet-manager,docs/planning/2026-08-20-railway-keep-bot-only-worklist.md,"caa6cd2, header read",MEASURED-PRIOR,spider-bot,archive/,archive_only,False,docs/findings/2026-08-14-railway-websites-audit.md,"live Railway state belongs in the estate as a fresh MEASURED state/services entry taken against the API at seed time, never as a copy of this worklist",enumerator read first 6 lines at docs/planning/2026-08-20-railway-keep-bot-only-worklist.md@caa6cd2,,none,False,True,False,,"An operational worklist executing the owner's 2026-08-20 Railway direction: retire mineverse hosting, keep bot-only surfaces, route-scoped crawler-DoS fix. Infrastructure/product state belonging to the Railway services and the bot repos, not to hub structure; probably already executed, not independently re-verified.",area:planning,yes,,docs/current-state.md
"Repo dispositions table (2026-08-22, OD-18's deliverable)",fleet-manager,docs/planning/2026-08-22-repo-dispositions.md,"caa6cd2, header read",MEASURED-PRIOR,hub,archive/,archive_only,False,docs/decisions.md | docs/ESTATE.md,,enumerator read first 8 lines at docs/planning/2026-08-22-repo-dispositions.md@caa6cd2,,none,False,True,False,,"Finalized keep/archive/delete verdict with a rework-versus-fresh call for all 26 repositories as of that date, one stated reason per row. The provenance record for how the current repo set was reached; the estate's generated repositories/README.md is designed to be the live successor index.",area:planning,yes,,docs/current-state.md
Retired generated fleet-evidence and fence-exposure snapshots,fleet-manager,docs/evidence-index.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read evidence-index.md (154 lines) and fence-index.md (70 lines) in full including their RETIRED banners,,none,False,True,False,,"docs/evidence-index.md (a per-lane evidence-pointer table) is self-declared RETIRED/HISTORICAL, frozen at Generation #430 (2026-08-06T14:57Z). docs/fence-index.md is a dated 2026-07-14 hand-probe of the seat-digest fence contract, which lives inside the seat-era apparatus CLAUDE.md already names historical.",area:run1-four-areas,yes,,docs/current-state.md
Retired multi-seat fleet reading path,fleet-manager,docs/reading-path.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read the file in full (110 lines) including its status line and 2026-08-08/2026-08-11 corrections,,none,False,False,False,,"docs/reading-path.md is a self-declared historical cross-repo orientation route for the closed multi-seat fleet (roster, control bus, heartbeats, ORDER relay); its own header redirects readers to README.md and docs/repos/, which is what the live six-read order already prescribes.",area:run1-four-areas,yes,,docs/current-state.md
Seat-era mission statement (MISSION.md),fleet-manager,MISSION.md,sha7d99f7d@2026-08-29,MEASURED,hub,archive/,archive_only,False,,,"enumerator read MISSION.md@7d99f7d, full 48 lines; corroborated at kit-prerequisites-and-migration.md:53",,none,False,False,False,,"MISSION.md's own 2026-08-08 era-note declares its done-when criteria unmeasurable (the seats closed 2026-07-21) and defers to the consolidation program's NOW pointer. The 2026-09-01 migration manifest independently lists MISSION.md by name under 'archive only' alongside control/, telemetry/ and projects/.",area:run1-four-areas,yes,,docs/current-state.md
"Seat-era scripts/* (gen_roster.py, check_owner_queue.py, check_fleet_triage_staleness.py, check_roster_freshness.py and the rest beyond preflight.py)",fleet-manager,scripts/README.md,7ccc88a@2026-09-04,MEASURED-PRIOR,hub,archive/,archive_only,False,,,read scripts/README.md lines 1-25 at 7ccc88a,,none,False,True,False,,"scripts/README.md states 'Most of the rest are seat-era advisory checkers whose subjects (roster, lanes, triage register) are retired', and records that check_owner_queue.py is DEAD against the current queue — the 2026-07-21 restructure removed the '## Active' region its parser enters by, so a run parses zero items and exits via its own [no-items] FLAG with none of its four checks executed. The README also concedes it does not index itself ('...13 more').",area:apparatus,yes,,docs/current-state.md
Session journal / process memory (.session-journal.md),fleet-manager,.session-journal.md,sha7d99f7d@2026-08-29,MEASURED,hub,archive/,archive_only,False,,"if estate wants a quick-reference/traps file its content must come from docs/traps.md, CONSTITUTION.md and real session cards, not this scaffold","enumerator read .session-journal.md@7d99f7d, full 27 lines",,none,False,False,False,,"A substrate-kit template with five section headers whose every body is unfilled placeholder text -- no quick-reference command, no boot step, no recorded trap, no candidate rule. Zero facts to carry or distill.",area:run1-four-areas,yes,,docs/current-state.md
Shared cross-vendor agent rules (AGENTS.md draft),fleet-manager,(killed before a source was recorded),(killed at disposition),REVIEWED,hub,archive/,archive_only,False,,killed at disposition: contradicted_by non-empty AND contradiction_resolution == 'unresolved',disposition judge for area run1-four-areas,,none,True,False,False,,"AGENTS.md:9 states README.md is 'the recommended front door, not a mandatory reading ladder' (judge re-read the line at HEAD). [D-0032], owner-live the SAME DAY the draft was committed, rules the opposite: 'the required reading order stays', later formalized as a six-file token-budgeted boot path in structure.md. The draft was never revisited and remains unreviewed five days on. Nothing in the repo resolves which position governs, and only the owner can. Killing it is also right operationally: the migration manifest already routes AGENTS.md as a fresh distill from README + CLAUDE.md rather than a carry of this file, so no content is lost -- but the conflict must be surfaced to him, not silently seeded.",area:run1-four-areas,no,contradicted_by non-empty AND contradiction_resolution == 'unresolved',docs/current-state.md
